Date,Ticker,Bias,Win_Rate,Win_Move,Result
2026-05-06,COIN,SHORT ▼,79.4,1.932,Win
2026-05-06,SOFI,SHORT ▼,75.0,0.2,Win
2026-05-06,INTC,LONG ▲,74.0,1.354,Win
2026-05-06,APLD,LONG ▲,68.9,0.686,Win
2026-05-06,DKNG,LONG ▲,66.7,0.194,Win
2026-05-06,NVTS,LONG ▲,66.7,0.495,Win
2026-05-07,RKLB,LONG ▲,81.5,1.449,Loss
2026-05-07,QBTS,LONG ▲,75.9,0.335,Win
2026-05-07,CRM,SHORT ▼,75.6,1.66,Loss
2026-05-07,ASTS,LONG ▲,73.6,0.996,Win
2026-05-07,IONQ,LONG ▲,69.2,0.824,Win
2026-05-08,RGTI,SHORT ▼,80.0,0.362,Win
2026-05-08,HIMS,SHORT ▼,75.0,0.336,Loss
2026-05-08,PL,SHORT ▼,75.0,0.932,Loss
2026-05-08,RKLB,SHORT ▼,73.2,1.487,Loss
2026-05-11,COIN,LONG ▲,85.7,2.297,Win
2026-05-11,WULF,SHORT ▼,84.8,0.393,Win
2026-05-11,RKLB,LONG ▲,81.5,1.593,Win
2026-05-11,LCID,LONG ▲,80.0,0.113,Loss
2026-05-11,NBIS,SHORT ▼,75.0,4.418,Loss
2026-05-12,COIN,LONG ▲,85.7,2.637,Win
2026-05-12,ONDS,LONG ▲,83.0,0.113,Win
2026-05-12,TSLA,LONG ▲,76.5,3.848,Win
2026-05-12,CRCL,LONG ▲,71.9,2.219,Win
2026-05-12,HOOD,LONG ▲,71.9,0.824,Win
2026-05-12,RGTI,LONG ▲,71.4,0.371,Win
2026-05-12,IONQ,LONG ▲,69.2,1.189,Win
2026-05-12,RCAT,LONG ▲,67.5,0.149,Win
2026-05-12,NVTS,LONG ▲,66.7,0.528,Loss
2026-05-13,FIG,SHORT ▼,82.4,0.353,Win
2026-05-13,NU,SHORT ▼,66.7,0.126,Win
2026-05-14,PLTR,SHORT ▼,76.5,1.1,Loss
2026-05-14,SOFI,SHORT ▼,75.0,0.155,Loss
2026-05-14,APLD,LONG ▲,68.9,1.19,Win
2026-05-15,ONDS,LONG ▲,83.0,0.166,Win
2026-05-15,CLSK,LONG ▲,76.7,0.308,Loss
2026-05-15,QBTS,LONG ▲,75.9,0.644,Loss
2026-05-15,LUNR,LONG ▲,73.8,1.011,Win
2026-05-15,ASTS,LONG ▲,73.6,2.089,Win
2026-05-15,LYFT,SHORT ▼,71.1,0.183,Loss
2026-05-15,NOW,LONG ▲,70.0,0.911,Win
2026-05-15,RBLX,LONG ▲,69.8,0.462,Loss
2026-05-15,IONQ,LONG ▲,69.2,1.739,Loss
2026-05-18,WULF,SHORT ▼,84.8,0.359,Win
2026-05-18,COIN,SHORT ▼,79.4,4.351,Win
2026-05-18,IREN,SHORT ▼,71.9,1.191,Win
2026-05-18,QBTS,SHORT ▼,70.5,0.572,Win
2026-05-18,APLD,SHORT ▼,69.0,0.941,Win
2026-05-19,FCX,SHORT ▼,78.3,0.616,Win
2026-05-19,CRM,LONG ▲,76.1,1.418,Win
2026-05-19,PL,SHORT ▼,75.0,0.82,Win
2026-05-19,LUNR,SHORT ▼,74.4,1.086,Win
2026-05-19,TE,LONG ▲,72.4,0.144,Win
2026-05-19,PLTR,LONG ▲,70.4,1.385,Win
2026-05-19,ONDS,SHORT ▼,67.3,0.355,Win
2026-05-20,COIN,LONG ▲,85.7,4.25,Loss
2026-05-20,CLSK,LONG ▲,76.7,0.252,Win
2026-05-20,ASTS,LONG ▲,73.6,2.263,Win
2026-05-20,MARA,LONG ▲,70.7,0.221,Win
2026-05-20,ONDS,SHORT ▼,67.3,0.413,Loss
2026-05-21,RKLB,LONG ▲,81.5,2.968,Win
2026-05-21,RIVN,LONG ▲,79.5,0.145,Win
2026-05-21,NU,LONG ▲,76.9,0.117,Loss
2026-05-21,TSLA,LONG ▲,76.5,3.372,Win
2026-05-21,QBTS,LONG ▲,75.9,0.36,Win
2026-05-21,AMD,LONG ▲,75.5,6.593,Win
2026-05-21,RGTI,LONG ▲,71.4,0.344,Win
2026-05-21,IONQ,LONG ▲,69.2,1.005,Win
2026-05-21,APLD,LONG ▲,68.9,0.902,Win
